"Category","URL","Name","Status","Expected","Redirect","TimeMs","ContentType","BodyLength"
"Root","https://nekotab.app/","Homepage","200","200","","1647","text/html; charset=utf-8","55190"
"Root","https://nekotab.app/start/","Blank site start","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","307","","0"
"Root","https://nekotab.app/style/","Style guide","200","200","","498","text/html; charset=utf-8","31033"
"Root","https://nekotab.app/create/","Create tournament","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","258","","0"
"Root","https://nekotab.app/create/ie/","Create IE tournament","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","257","","0"
"Root","https://nekotab.app/create/congress/","Create congress tournament","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","256","","0"
"Root","https://nekotab.app/register/tournament/","Register + create tournament","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","255","","0"
"Root","https://nekotab.app/register/organization/","Register + create org","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","254","","0"
"Root","https://nekotab.app/for-organizers/","Marketing page","200","200","","325","text/html; charset=utf-8","21250"
"Root","https://nekotab.app/free-debate-tab-software/","SEO page","200","200","","321","text/html; charset=utf-8","21051"
"Root","https://nekotab.app/bp-debate-tabulation/","SEO page","200","200","","356","text/html; charset=utf-8","20753"
"Root","https://nekotab.app/tabroom-alternative/","SEO page","200","200","","408","text/html; charset=utf-8","20789"
"Root","https://nekotab.app/sitemap.xml","Sitemap","200","200 XML","","325","application/xml","4020"
"Root","https://nekotab.app/robots.txt","Robots","200","200 text","","325","text/plain","819"
"Root","https://nekotab.app/ads.txt","Ads","200","200 text","","313","text/plain","59"
"Root","https://nekotab.app/googlee0a2b1e83278e880.html","Verification 1","200","200","","322","text/html; charset=utf-8","54"
"Root","https://nekotab.app/google4a7d5456478d704b.html","Verification 2","200","200","","313","text/html; charset=utf-8","53"
"Root","https://nekotab.app/api/","API root","500","200 JSON",,"314","","0"
"Root","https://nekotab.app/api/v1/","API v1 root","404","200 JSON",,"291","","0"
"Root","https://nekotab.app/api/schema/","OpenAPI schema","404","200",,"317","","0"
"Root","https://nekotab.app/api/schema/redoc/","API docs","200","200","","435","text/html; charset=utf-8","730"
"Auth","https://nekotab.app/accounts/login/","Login","200","200","","443","text/html; charset=utf-8","17669"
"Auth","https://nekotab.app/accounts/signup/","Signup","200","200","","408","text/html; charset=utf-8","22601"
"Auth","https://nekotab.app/accounts/password_reset/","Password Reset","200","200","","345","text/html; charset=utf-8","17110"
"Auth","https://nekotab.app/accounts/password_reset/done/","Password Reset Done","200","200","","354","text/html; charset=utf-8","16770"
"Auth","https://nekotab.app/accounts/logout/","Logout","405","302",,"247","","0"
"Global","https://nekotab.app/forum/","Forum home","200","200","","338","text/html; charset=utf-8","22421"
"Global","https://nekotab.app/motions-bank/","Motion Bank home","200","200","","464","text/html; charset=utf-8","21065"
"Global","https://nekotab.app/motions-bank/doctor/","Motion Doctor","200","200","","342","text/html; charset=utf-8","19789"
"Global","https://nekotab.app/passport/","Passport directory","200","200","","347","text/html; charset=utf-8","19787"
"Global","https://nekotab.app/organizations/","Org list","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","257","","0"
"Global","https://nekotab.app/campaigns/","Campaign list","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","267","","0"
"Global","https://nekotab.app/analytics/","Analytics dashboard","TIMEOUT/ERROR","200 or 302/403","Operation is not valid due to the current state of the object.","267","","0"
"Global","https://nekotab.app/notifications/status/","Email status","404","200 or 302",,"388","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/","Tournament homepage","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","271","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/schedule/","Public schedule","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","251","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/draw/","Current round draw","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","315","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/draw/round/1/","Draw for round 1","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","279","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/draw/sides/","Side allocations","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","254","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/results/","Public results index","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","278","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/results/round/1/","Results for round 1","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","260","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/motions/","Released motions","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","266","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/motions/statistics/","Motion statistics","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","268","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/participants/list/","Participant list","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","277","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/participants/institutions/","Institution list","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","273","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/participants/team/1/","Team record pk=1","TIMEOUT/ERROR","200 or 404","Operation is not valid due to the current state of the object.","254","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/participants/adjudicator/1/","Adj record pk=1","TIMEOUT/ERROR","200 or 404","Operation is not valid due to the current state of the object.","273","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/standings/current-standings/","Current team standings","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","254","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/standings/team/","Team tab","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","273","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/standings/speaker/","Speaker tab","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","251","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/standings/replies/","Reply tab","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","252","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/standings/adjudicators/","Adj tab","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","251","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/standings/diversity/","Diversity stats","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","253","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/break/","Break index","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","255","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/break/adjudicators/","Breaking adjs","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","253","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/feedback/progress/","Feedback progress","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","254","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/checkins/status/people/","Check-in status","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","252","","0"
"TourneyPublic-Path","https://nekotab.app/dc-2026/registration/","Registration landing","404","200",,"302","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/","Tournament homepage [subdomain]","200","200","","1721","text/html; charset=utf-8","41246"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/schedule/","Public schedule [subdomain]","403","200",,"307","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/draw/","Current round draw [subdomain]","403","200",,"1059","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/draw/round/1/","Draw for round 1 [subdomain]","403","200",,"1070","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/draw/sides/","Side allocations [subdomain]","403","200",,"1524","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/results/","Public results index [subdomain]","403","200",,"1081","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/results/round/1/","Results for round 1 [subdomain]","403","200",,"1057","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/motions/","Released motions [subdomain]","403","200",,"1014","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/motions/statistics/","Motion statistics [subdomain]","403","200",,"1094","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/participants/list/","Participant list [subdomain]","403","200",,"1124","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/participants/institutions/","Institution list [subdomain]","403","200",,"993","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/participants/team/1/","Team record pk=1 [subdomain]","404","200 or 404",,"1017","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/participants/adjudicator/1/","Adj record pk=1 [subdomain]","404","200 or 404",,"292","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/standings/current-standings/","Current team standings [subdomain]","403","200",,"276","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/standings/team/","Team tab [subdomain]","403","200",,"1079","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/standings/speaker/","Speaker tab [subdomain]","403","200",,"1100","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/standings/replies/","Reply tab [subdomain]","403","200",,"1042","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/standings/adjudicators/","Adj tab [subdomain]","403","200",,"974","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/standings/diversity/","Diversity stats [subdomain]","403","200",,"1345","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/break/","Break index [subdomain]","403","200",,"990","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/break/adjudicators/","Breaking adjs [subdomain]","403","200",,"1069","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/feedback/progress/","Feedback progress [subdomain]","403","200",,"1011","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/checkins/status/people/","Check-in status [subdomain]","403","200",,"996","","0"
"TourneyPublic-Subdomain","https://dc-2026.nekotab.app/registration/","Registration landing [subdomain]","404","200",,"1013","","0"
"CongressPublic","https://nekotab.app/dc-2026/congress/standings/","Public standings","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","251","","0"
"CongressPublic","https://nekotab.app/dc-2026/congress/student/session/1/","Student session view","TIMEOUT/ERROR","200 or 404","Operation is not valid due to the current state of the object.","252","","0"
"IEPublic","https://nekotab.app/dc-2026/ie/","Public IE dashboard","TIMEOUT/ERROR","200","Operation is not valid due to the current state of the object.","252","","0"
"IEPublic","https://nekotab.app/dc-2026/ie/1/standings/","IE event standings","TIMEOUT/ERROR","200 or 404","Operation is not valid due to the current state of the object.","257","","0"
"Admin","https://nekotab.app/dc-2026/admin/","Admin home","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","253","","0"
"Admin","https://nekotab.app/dc-2026/admin/configure/","Tournament config","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","251","","0"
"Admin","https://nekotab.app/dc-2026/admin/options/","Options index","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","302","","0"
"Admin","https://nekotab.app/dc-2026/admin/participants/list/","Admin participant list","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","297","","0"
"Admin","https://nekotab.app/dc-2026/admin/participants/institutions/","Admin institutions","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","286","","0"
"Admin","https://nekotab.app/dc-2026/admin/participants/code-names/","Code names","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","267","","0"
"Admin","https://nekotab.app/dc-2026/admin/participants/eligibility/","Speaker eligibility","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","255","","0"
"Admin","https://nekotab.app/dc-2026/admin/participants/team/1/","Admin team record","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","257","","0"
"Admin","https://nekotab.app/dc-2026/admin/participants/adjudicator/1/","Admin adj record","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","262","","0"
"Admin","https://nekotab.app/dc-2026/admin/import/simple/","Simple importer","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","267","","0"
"Admin","https://nekotab.app/dc-2026/admin/import/export/","Export page","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","256","","0"
"Admin","https://nekotab.app/dc-2026/admin/privateurls/","Private URLs list","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","284","","0"
"Admin","https://nekotab.app/dc-2026/admin/availability/round/1/","Availability for R1","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","253","","0"
"Admin","https://nekotab.app/dc-2026/admin/availability/round/1/adjudicators/","Adj availability","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","265","","0"
"Admin","https://nekotab.app/dc-2026/admin/availability/round/1/teams/","Team availability","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","258","","0"
"Admin","https://nekotab.app/dc-2026/admin/availability/round/1/venues/","Venue availability","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","267","","0"
"Admin","https://nekotab.app/dc-2026/admin/draw/round/1/","Admin draw for R1","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","258","","0"
"Admin","https://nekotab.app/dc-2026/admin/draw/round/1/details/","Draw details","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","275","","0"
"Admin","https://nekotab.app/dc-2026/admin/draw/round/1/position-balance/","Position balance","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","273","","0"
"Admin","https://nekotab.app/dc-2026/admin/draw/round/1/display/","Draw display","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","267","","0"
"Admin","https://nekotab.app/dc-2026/admin/draw/round/current/display-by-venue/","Current draw by venue","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","271","","0"
"Admin","https://nekotab.app/dc-2026/admin/draw/round/current/display-by-team/","Current draw by team","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","275","","0"
"Admin","https://nekotab.app/dc-2026/admin/draw/sides/","Side allocations","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","268","","0"
"Admin","https://nekotab.app/dc-2026/admin/results/round/1/","Admin results for R1","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","252","","0"
"Admin","https://nekotab.app/dc-2026/admin/motions/round/1/edit/","Edit motions R1","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","253","","0"
